question,question_ids,answer,answer_ids,base_loss,search_method,best_prompt,best_prompt_ids,prompt_length,prompted_loss,base_correct,prompt_correct,question_length
" following his debut album, but received","[1863, 545, 9654, 5026, 204, 23, 480, 3245]", a,241,2.0,base,,[],0,-1.0,True,True,8
" following his debut album, but received","[1863, 545, 9654, 5026, 204, 23, 480, 3245]", only,736,3.1875,greedy, pesos,"[50288, 31415]",2,1.453125,False,True,8
" following his debut album, but received","[1863, 545, 9654, 5026, 204, 23, 480, 3245]", more,520,3.90625,greedy, fundamentally,[27245],1,2.171875,False,True,8
" following his debut album, but received","[1863, 545, 9654, 5026, 204, 23, 480, 3245]", much,866,4.15625,greedy,ictionary,"[11803, 25453]",2,1.734375,False,True,8
" following his debut album, but received","[1863, 545, 9654, 5026, 204, 23, 480, 3245]", poor,4439,4.40625,gcg,EV,"[22083, 453, 42473, 1164, 49632, 6016]",6,0.62109375,False,True,8
" following his debut album, but received","[1863, 545, 9654, 5026, 204, 23, 480, 3245]", minimal,9252,4.84375,gcg, lithium,"[31845, 29471, 16471, 21032]",4,1.828125,False,True,8
" following his debut album, but received","[1863, 545, 9654, 5026, 204, 23, 480, 3245]", luke,51686,5.1875,greedy,Sheet,"[45996, 51686]",2,0.1318359375,False,True,8
" following his debut album, but received","[1863, 545, 9654, 5026, 204, 23, 480, 3245]", acclaim,24296,5.40625,greedy,Franc,"[39942, 4824, 62860]",3,1.4140625,False,True,8
" following his debut album, but received","[1863, 545, 9654, 5026, 204, 23, 480, 3245]", better,1286,5.65625,greedy, Again,"[8521, 25814]",2,2.296875,False,True,8
" following his debut album, but received","[1863, 545, 9654, 5026, 204, 23, 480, 3245]", commercial,4416,5.8125,greedy, în,"[6116, 26563, 16991]",3,1.953125,False,True,8
" following his debut album, but received","[1863, 545, 9654, 5026, 204, 23, 480, 3245]", low,1958,5.9375,gcg,Low,"[20197, 44973, 450, 59658, 40739, 51436, 25283, 4223]",8,0.494140625,False,True,8
