question,question_ids,answer,answer_ids,base_loss,search_method,best_prompt,best_prompt_ids,prompt_length,prompted_loss,base_correct,prompt_correct,question_length
" 28,","[204, 2086, 204, 23]", 201,"[204, 626]",0.6796875,base,,[],0,0.6796875,True,True,4
= Early career ,"[40, 12955, 3579, 204]",( ,"[19, 204]",2.75,gcg, Springfield,"[32889, 3226, 30256, 38693, 64369, 51939, 22164, 52689, 25240, 64321, 15963, 6668, 27406, 16374, 48908, 44575, 47347, 43236, 24293, 18583, 14576, 49741, 49954, 7150, 35629, 14871, 31205, 28463, 445, 62163, 27925, 896, 26562, 52611, 62752, 648, 63770, 28755, 25605, 43765, 15426, 49465, 61350, 52295, 1588, 27614, 51428, 41698, 45993, 1306, 18366, 7110, 58231, 41392, 34234, 18535, 20539, 10526, 17512, 51280, 26289, 64075, 36976, 21598]",64,0.052734375,False,True,4
 106 %,"[204, 13601, 204, 16]", of the,"[275, 248]",1.578125,greedy, constitute,[22885],1,0.318359375,False,True,4
 on September 15,"[313, 3278, 204, 1030]",",","[204, 23]",4.03125,gcg, Flight,"[22713, 49792, 56864, 42644, 22044, 23393, 26372, 11164, 34852, 64887, 39076, 6723, 37246, 51029, 28186, 7146, 2670, 60713, 26731, 959, 263, 20436, 6332, 16807, 48748, 47249, 42855, 55196, 8608, 13453, 36119, 44808, 59954, 17135, 15483, 22758, 532, 63057, 45033, 6287, 6669, 37, 64724, 4264, 804, 10408, 26406, 75, 63227, 10755, 674, 57097, 23049, 42543, 56144, 30311, 1686, 49039, 58030, 193, 7937, 51711, 27833, 453]",64,0.0155029296875,False,True,4
 prime minister is not,"[9079, 11177, 304, 416]", under any obligation,"[813, 607, 15153]",2.96875,gcg,Sleep,"[30643, 14, 28874, 63293, 12207, 19435, 36614, 42030, 17731, 54235, 41036, 28108, 23172, 30645, 39304, 62143, 52587, 7388, 26528, 17999, 13795, 42, 2398, 30333, 62801, 36422, 34582, 4256, 62461, 23298, 3001, 15862, 11444, 1014, 39018, 17934, 46191, 9848, 12706, 21864, 8343, 38292, 56343, 32777, 43809, 43065, 50509, 18334, 96, 53711, 791, 7233, 2070, 43291, 563, 5780, 51913, 47882, 5842, 951, 53009, 56131, 38347, 31369]",64,1.1875,False,True,4
'-,"[204, 18, 204, 24]",na hon u,"[1797, 2799, 305]",8.625,gcg, mens,"[13154, 61962, 29859, 56076, 46043, 4484, 10631, 14405, 5647, 35631, 48933, 45429, 33349, 18311, 50692, 29548, 44939, 52277, 28045, 48246, 20756, 8060, 29875, 26351, 56286, 791, 9414, 55834, 51713, 2977, 30749, 47911, 26727, 30, 60464, 12977, 10244, 18251, 40237, 60721, 1502, 44325, 9622, 40720, 2635, 8444, 13667, 24982, 35710, 2795, 15247, 45547, 3418, 49923, 27735, 15477, 49253, 2833, 308, 305, 21219, 13277, 96, 2326]",64,2.46875,False,False,4
", William F.","[23, 7533, 378, 25]"," Buckley,","[61305, 204, 23]",4.1875,gcg,––,"[29402, 5028, 30704, 5677, 29594, 38385, 19335, 10047, 61045, 53787, 19751, 2415, 42167, 48307, 28039, 50651, 255, 62096, 10841, 20444, 51024, 30704, 14455, 19103, 64294, 21033, 40492, 19760, 50648, 58014, 62405, 61305, 3373, 12178, 54414, 25280, 4345, 33648, 2096, 49581, 43740, 38742, 50607, 32592, 28943, 34409, 59615, 26242, 21150, 47250, 48829, 33228, 49085, 31690, 667, 54491, 12368, 2217, 39687, 1108, 812, 58109, 21537, 204]",64,0.052978515625,False,True,4
 included the introduction of,"[3345, 248, 9705, 275]", a new school,"[241, 627, 1473]",3.296875,gcg, New,"[1184, 49431, 15190, 2352, 55969, 49620, 24728, 29804, 75, 8328, 32568, 495, 56282, 40224, 56032, 42987, 8079, 4451, 6462, 12975, 14719, 22278, 25010, 47810, 50994, 23727, 26559, 1984, 15300, 34113, 59482, 50067, 17465, 54014, 18380, 1472, 31038, 836, 2631, 5080, 60299, 1510, 37530, 31926, 63898, 50563, 38, 15540, 18931, 45364, 59098, 24455, 46917, 6898, 59645, 62995, 46642, 7683, 20967, 51734, 23, 9824, 8013, 44635]",64,0.98046875,False,True,4
 his child or ward,"[545, 1213, 379, 13433]",", as the","[204, 23, 345, 248]",3.484375,gcg,ations,"[571, 13695, 51131, 18919, 51463, 58699, 36789, 28496, 29878, 53396, 23648, 39076, 2235, 7602, 701, 18372, 10978, 27380, 9531, 5793, 15233, 54659, 10711, 34526, 26256, 3386, 51420, 8349, 871, 358, 8593, 59982, 40804, 54295, 30986, 58461, 13487, 38359, 1906, 54009, 40166, 11757, 59975, 59126, 19772, 10870, 252, 32036, 15510, 45106, 32706, 917, 43088, 52174, 51948, 36806, 60037, 48616, 34975, 27826, 38214, 40408, 4, 240]",64,1.703125,False,False,4
", while numerous locations","[23, 1093, 5593, 6477]", recorded at least ,"[7831, 388, 1931, 204]",3.46875,gcg, Monterey,"[48168, 22359, 19296, 10397, 2394, 26223, 40437, 17473, 5024, 20241, 64509, 60480, 37346, 61646, 32233, 51336, 33743, 49078, 10930, 47299, 13024, 40461, 46594, 42288, 20682, 20694, 24346, 17798, 40779, 46220, 8460, 4366, 4869, 59424, 2699, 48964, 13494, 28608, 30944, 25423, 42942, 3051, 53587, 1542, 84, 55432, 14106, 16558, 2185, 53173, 23414, 30132, 25091, 25236, 34211, 5154, 17757, 13752, 19980, 23997, 52637, 62314, 951, 40816]",64,0.201171875,False,True,4
