question,question_ids,answer,answer_ids,base_loss,search_method,best_prompt,best_prompt_ids,prompt_length,prompted_loss,base_correct,prompt_correct,question_length
", President Christ","[204, 23, 3503, 1781]",ophe S,"[43356, 302]",3.515625,gcg, booklet,"[41559, 61978, 24395, 27265, 41208, 54951, 62132, 13827, 23160, 14567, 44743, 21977, 56496, 1172, 33338, 52254, 47918, 41394, 29502, 48711, 22920, 38933, 48406, 37986, 47139, 26870, 37252, 16214, 35218, 25787, 7501, 127, 35232, 7003, 38520, 17065, 33953, 28430, 17502, 63399, 31035, 31185, 48855, 34275, 61517, 14920, 43941, 51897, 2002, 7445, 29278, 21937, 63211, 39580, 45999, 89, 55935, 35659, 62758, 51813, 30233, 4, 52579, 35348]",64,0.197265625,False,True,4
 Noether published several,"[1684, 7577, 4002, 1988]", papers extending,"[8328, 20131]",3.6875,gcg, rebrand,"[63592, 28450, 63760, 50183, 43551, 28940, 21717, 38559, 15635, 50236, 39784, 44470, 39564, 37855, 48148, 19135, 29954, 68, 17753, 63386, 31753, 51992, 11489, 64708, 50295, 33337, 38395, 61440, 3473, 30535, 2057, 840, 55916, 41958, 397, 2608, 33521, 62241, 30731, 7655, 57165, 39119, 32150, 56194, 1212, 32980, 41742, 42062, 10432, 52129, 41931, 57808, 43113, 42792, 59396, 51945, 61271, 8878, 8856, 43971, 49568, 41746, 2335, 27447]",64,0.75390625,False,True,4
 professional career from an,"[2800, 3579, 427, 267]", early age,"[2304, 2521]",0.380859375,base,,[],0,0.380859375,True,True,4
 the table with eleven,"[248, 2409, 335, 24542]", wins ,"[10024, 204]",5.03125,gcg, Emb,"[18886, 21056, 47367, 62379, 45811, 49643, 59763, 5971, 13431, 14685, 7418, 24306, 205, 50416, 47676, 36563, 6740, 14627, 49977, 41734, 60084, 47518, 45235, 52625, 6569, 57930, 46165, 7587, 28390, 21603, 37190, 30031, 49559, 46105, 52029, 50582, 96, 56943, 150, 29665, 830, 51582, 21631, 23203, 46950, 54758, 18587, 60813, 12534, 57462, 16209, 6512, 15544, 1057, 31556, 23959, 15367, 49838, 123, 513, 53255, 62912, 29105, 54592]",64,0.9375,False,True,4
. However ,"[204, 25, 2071, 204]",", as they","[23, 345, 506]",3.0,gcg, Carla,"[51409, 41330, 44891, 50123, 51354, 251, 31380, 14123, 1175, 3813, 37160, 24563, 4780, 52498, 11802, 31911, 2363, 17756, 14098, 34755, 17073, 46122, 58816, 17848, 40293, 47413, 47988, 22387, 29742, 11775, 23419, 23520, 32300, 16498, 14974, 27341, 18689, 58874, 27950, 63996, 456, 44764, 44774, 25700, 2238, 18926, 6452, 9255, 20406, 33116, 10822, 53005, 59878, 18295, 10907, 736, 4103, 60110, 8275, 33164, 644, 62291, 43340, 56286]",64,1.4140625,False,False,4
tskin might think,"[915, 6238, 1295, 864]", he is doing,"[332, 304, 1836]",2.90625,gcg,Spect,"[48192, 43613, 44739, 12081, 1588, 10343, 21412, 9410, 2053, 34654, 29367, 13198, 43089, 56857, 20845, 33398, 36208, 64725, 38550, 3698, 544, 49372, 28800, 41107, 30776, 5985, 3019, 44966, 33767, 41990, 40364, 55742, 36851, 3575, 36125, 17443, 32574, 784, 33379, 64194, 59792, 29206, 23684, 32090, 15260, 1508, 31525, 26880, 27086, 22076, 1546, 24117, 39053, 22763, 17457, 23307, 25719, 46720, 45786, 12195, 16007, 54063, 15973, 1135]",64,0.0634765625,False,True,4
", 200","[204, 23, 204, 853]",8 –,"[35, 204, 600]",2.5,gcg, unseen,"[39230, 59666, 12437, 48557, 11115, 159, 15749, 52690, 19455, 55920, 12429, 42162, 4051, 600, 17611, 50140, 5810, 6418, 26973, 10876, 11019, 49122, 39058, 14430, 15852, 55992, 445, 3934, 25023, 14640, 15045, 30840, 38875, 8860, 54028, 34536, 32618, 48244, 29378, 43943, 48469, 51049, 50162, 32349, 45727, 49168, 57150, 51564, 61267, 61053, 94, 3527, 247, 34554, 6015, 11562, 55047, 39314, 9288, 9575, 45611, 3543, 53526, 51362]",64,0.6796875,False,False,4
 the Land @,"[248, 6045, 204, 43]",-@ Grant,"[24, 43, 12571]",7.5625,gcg, difficulties,"[12944, 12166, 51519, 27949, 16376, 45154, 1243, 56702, 57421, 2010, 42791, 42314, 59680, 52100, 17387, 56602, 17142, 30471, 51319, 65020, 42393, 28412, 18736, 64131, 44381, 46988, 45008, 4117, 42393, 15187, 39301, 43332, 45935, 48876, 18230, 11347, 13796, 29534, 47024, 13900, 22776, 23988, 60408, 40871, 32448, 6729, 64840, 60546, 617, 18658, 25313, 48124, 1847, 1622, 59610, 50501, 29696, 42791, 1720, 8032, 51276, 42393, 2136, 28060]",64,1.7578125,False,False,4
", and 16","[23, 273, 204, 1243]", RBI. Also,"[34657, 204, 25, 3767]",5.5,gcg, Tattoo,"[51897, 246, 44207, 42889, 504, 47472, 4987, 3218, 41, 49973, 7397, 61279, 36717, 60432, 24590, 54292, 47613, 40983, 1361, 30327, 22117, 13263, 10375, 417, 48488, 1621, 38604, 38962, 16728, 7542, 60367, 31717, 6585, 59956, 40229, 47912, 59637, 64527, 45031, 880, 13205, 54249, 57745, 309, 53960, 50519, 8744, 42870, 16872, 312, 49046, 56153, 46777, 44131, 64062, 15, 42304, 1179, 30094, 63763, 39951, 1001, 58296, 31556]",64,1.921875,False,False,4
 All three athletes competed,"[1495, 1373, 12634, 38372]", in two events ,"[272, 847, 2863, 204]",2.03125,gcg,�,"[8936, 6089, 57454, 41931, 38945, 65014, 4548, 31279, 33393, 64431, 26818, 7796, 11914, 62216, 59867, 40468, 8882, 25414, 47683, 34757, 35873, 37963, 62703, 30073, 11693, 60103, 29412, 53336, 46578, 63398, 60754, 1686, 30418, 36519, 64772, 20556, 1885, 14456, 61169, 34513, 49, 13652, 32100, 768, 33899, 24540, 59081, 5061, 43645, 1471, 48067, 23763, 30249, 34955, 16589, 59739, 41523, 41945, 5395, 30073, 18938, 41339, 50356, 29363]",64,0.0869140625,False,True,4
s second expedition to,"[94, 1459, 32303, 271]", the Pacific (,"[248, 9807, 204, 19]",2.125,gcg, educate,"[17478, 43799, 64101, 34672, 57392, 43802, 49232, 44012, 5498, 23052, 32220, 37777, 57570, 836, 5731, 38847, 17564, 33704, 58689, 50267, 60879, 46803, 59035, 54327, 53025, 51225, 14240, 15560, 33801, 10653, 44856, 23695, 6783, 3669, 44571, 51448, 40669, 21421, 52788, 61803, 899, 43640, 17805, 45641, 16479, 27233, 12051, 13777, 28503, 34230, 21483, 6815, 46304, 55825, 5254, 11320, 3959, 16498, 37440, 15598, 24849, 8787, 29010, 35827]",64,0.6484375,False,True,4
 included. The,"[3345, 204, 25, 390]", other founders agreed to,"[599, 25834, 7213, 271]",6.125,gcg, Guarantee,"[31572, 61626, 16707, 17669, 5708, 40300, 59213, 9893, 53009, 63088, 30733, 7156, 58664, 11260, 99, 24576, 48766, 40988, 45101, 47861, 39030, 24538, 59706, 32267, 11426, 53740, 42011, 21145, 54342, 46657, 38248, 54166, 1915, 139, 12600, 52526, 6225, 11966, 14661, 46117, 31005, 61556, 48894, 32687, 4832, 6936, 63734, 41865, 16144, 22475, 39255, 63417, 53968, 54808, 2170, 26406, 60664, 273, 44759, 513, 35507, 58011, 4232, 25834]",64,2.046875,False,False,4
 ( Frances Conroy ) reminds,"[204, 19, 23423, 1412, 4968, 204, 20, 15395]", Vivien,"[24786, 1423]",3.484375,gcg, d�,"[20629, 35009, 3962, 27397, 38529, 59665, 33590, 60546, 30509, 2243, 27623, 23815, 49975, 28478, 64581, 29427, 3160, 56891, 3769, 17955, 2017, 49556, 35632, 11469, 24586, 17379, 16626, 9080, 37390, 6852, 204, 9784, 14561, 53783, 37654, 47976, 9323, 36994, 59541, 23423, 50118, 20723, 60008, 40114, 38730, 24984, 51291, 45125, 49361, 10909, 19, 56227, 351, 47575, 3871, 193, 40427, 36410, 61190, 46774, 33929, 624, 24, 53044]",64,0.12890625,False,True,8
"@-@ 15 flights,","[43, 24, 43, 204, 1030, 12046, 204, 23]", three of,"[1373, 275]",4.59375,gcg, powerhouse,"[43987, 378, 20017, 62205, 51353, 29157, 317, 45105, 40425, 12788, 262, 28781, 57816, 25095, 4494, 44412, 57711, 8905, 32377, 18885, 428, 48784, 44982, 51653, 28198, 27039, 27079, 20852, 39642, 53579, 28537, 49234, 55389, 13783, 62096, 15105, 3543, 55730, 37388, 60198, 3990, 41329, 822, 23868, 28409, 50964, 19799, 15429, 62343, 59944, 6063, 60026, 9231, 64653, 82, 265, 5710, 31808, 50767, 62885, 21193, 34454, 47611, 41223]",64,2.25,False,False,8
 How to Beat Jet Lag. New,"[1265, 271, 14542, 19692, 16929, 204, 25, 1184]", York ,"[2798, 204]",2.0,greedy,ître,[20999],1,0.455078125,False,True,8
