question,question_ids,answer,answer_ids,base_loss,search_method,best_prompt,best_prompt_ids,prompt_length,prompted_loss,base_correct,prompt_correct,question_length
 I assume the X,"[295, 7950, 248, 1876]", @,"[204, 43]",6.625,gcg,[\,"[47748, 46915, 2231, 59846, 1876, 29276, 43, 4115, 8157, 29787, 5015, 11279, 2196, 6759, 55407, 38646, 6635, 29178, 36225, 34383, 16541, 29223, 51834, 5493, 10273, 21818, 25001, 43159, 9814, 27546, 3008, 53782, 39023, 137, 36295, 43681, 52834, 33927, 2536, 39397, 13584, 40428, 3788, 10391, 3711, 34729, 786, 30603, 2373, 14300, 30525, 318, 41068, 23105, 45127, 61110, 16666, 62706, 2077, 15381, 43268, 38180, 16008, 35511]",64,1.0625,False,True,4
zeln in ,"[101, 10223, 272, 204]",1851,"[11127, 28]",3.375,gcg,Seth,"[55626, 45101, 41946, 7967, 59216, 8122, 2455, 34010, 63089, 16597, 3801, 14881, 33906, 45110, 13888, 17179, 19498, 5043, 35330, 2861, 33728, 30664, 59749, 61371, 7518, 53963, 1572, 35126, 46137, 29260, 17345, 19713, 57474, 57611, 25212, 10627, 57611, 59052, 34793, 53151, 96, 39167, 11127, 3090, 48112, 18875, 53501, 30741, 41392, 7139, 50222, 30301, 672, 25787, 48836, 49334, 30590, 5903, 14473, 40792, 35827, 33474, 431, 42571]",64,0.2021484375,False,True,4
 Ponce and May,"[337, 16948, 273, 1896]",ag�,"[353, 137]",0.8125,greedy, sprawling,[46816],1,0.043212890625,False,True,4
 discovered in the United,"[6524, 272, 248, 2522]", States ,"[2941, 204]",1.8828125,greedy, Parish,[30741],1,0.48046875,False,True,4
", Austen wrote an","[23, 56413, 4347, 267]", angry letter to,"[10787, 4911, 271]",1.9921875,greedy, furious,[33299],1,0.6796875,False,True,4
 UA during official meetings,"[54023, 1365, 3332, 8008]",". 
","[204, 25, 4610]",5.15625,gcg,court,"[38486, 47474, 34607, 1184, 31485, 23074, 44678, 7390, 37111, 37961, 68, 51859, 42525, 204, 25, 30705, 54833, 54704, 19531, 6891, 14861, 12360, 46200, 7112, 4610, 1287, 49942, 4, 991, 20390, 18414, 53391, 48968, 2762, 21161, 27142, 2812, 37472, 26728, 41560, 18842, 54676, 5471, 18116, 17796, 61633, 11027, 22480, 60961, 30988, 18975, 8588, 42183, 54704, 35798, 12636, 57818, 33461, 62635, 45438, 31690, 4592, 47521, 58952]",64,1.453125,False,False,4
 @-@,"[204, 43, 24, 43]", under @,"[813, 204, 43]",5.125,gcg, dabei,"[22937, 24472, 21008, 65000, 4752, 41566, 29581, 24990, 31530, 31532, 29525, 10499, 4350, 4389, 49154, 5133, 32148, 16304, 56429, 1523, 50739, 52264, 192, 61449, 38977, 28367, 41, 19699, 39932, 31349, 24918, 19595, 12984, 35741, 2298, 30033, 52527, 23048, 33189, 34173, 21559, 60876, 15942, 173, 42473, 50014, 54969, 53698, 832, 51769, 20302, 47854, 57165, 54749, 60588, 36189, 45005, 29943, 51807, 14627, 49946, 951, 46803, 6229]",64,0.45703125,False,True,4
ha. Bl,"[2188, 204, 25, 1282]",ofeld instruct,"[1487, 5247, 4775]",5.8125,gcg, clarify,"[20603, 23985, 40805, 47361, 1487, 38060, 59402, 30135, 56233, 40481, 45491, 46430, 19636, 19, 17548, 8736, 1709, 4662, 33564, 57921, 50013, 23964, 1057, 33103, 20603, 7278, 62314, 64312, 63331, 11032, 1765, 1827, 27245, 58128, 28172, 46820, 60046, 35985, 7395, 50759, 9245, 0, 29090, 21772, 24296, 45397, 35936, 41230, 63509, 41691, 193, 59710, 4775, 12900, 20665, 64943, 35552, 5551, 17681, 54086, 60000, 35765, 2081, 21963]",64,0.99609375,False,True,4
 Chicago Divinity School,"[6685, 6387, 8896, 2793]", theologian Shail,"[49309, 715, 1077, 549]",4.78125,gcg, Climate,"[16560, 32897, 8325, 36216, 57191, 53735, 38963, 255, 60882, 1077, 549, 63685, 54188, 32810, 41874, 38137, 44505, 7670, 38629, 64740, 3122, 2723, 44967, 46819, 22045, 12194, 42603, 270, 39250, 13544, 50516, 63685, 52643, 33040, 1915, 6233, 21395, 28965, 49035, 6361, 23101, 63079, 64902, 3513, 28942, 24077, 42869, 28457, 34716, 56366, 58593, 49904, 30091, 61793, 1287, 30092, 193, 12066, 47530, 37376, 55, 12326, 16583, 29317]",64,0.51953125,False,True,4
. Meanwhile ,"[204, 25, 16359, 204]",", Peter decides to","[23, 6922, 18301, 271]",3.96875,gcg,Scroll,"[30412, 38072, 4536, 181, 56466, 46940, 31971, 58358, 57747, 51565, 955, 14173, 11478, 41170, 28607, 44221, 4564, 23837, 43970, 45403, 57057, 46561, 35928, 15747, 19187, 47436, 3, 48828, 50361, 26374, 12419, 8047, 60173, 4899, 61120, 35632, 26258, 15568, 44761, 4254, 53423, 47563, 2016, 37728, 35506, 44265, 36293, 50334, 4417, 42150, 48588, 28775, 45281, 20831, 55626, 48270, 51008, 264, 38519, 25720, 2833, 60909, 35155, 21756]",64,1.453125,False,False,4
 other songs on All,"[599, 6640, 313, 1495]", Things Must Pass ,"[10659, 11994, 6898, 204]",1.8515625,gcg, Marshall,"[19868, 5280, 58553, 59335, 1173, 21336, 44257, 47640, 25765, 1022, 31587, 29269, 2929, 22677, 8239, 43829, 57638, 24097, 11967, 31579, 50920, 49577, 3676, 31643, 15482, 31519, 27162, 23874, 11285, 11504, 23509, 24329, 46085, 46167, 47889, 63340, 46055, 41059, 42398, 31526, 24733, 62458, 27594, 56211, 26749, 41032, 4853, 63335, 27903, 27794, 62910, 4057, 38290, 30728, 55525, 283, 54806, 38733, 30997, 5430, 12303, 4051, 55158, 31948]",64,0.1845703125,False,True,4
" of Honor,","[275, 22131, 204, 23]", posthumously recognizing,"[1106, 17320, 4105, 25321]",4.75,gcg, Nikon,"[39321, 63630, 44029, 10908, 38219, 24430, 30463, 15883, 62397, 16823, 46604, 56922, 5770, 51795, 40889, 7558, 58821, 37361, 38901, 12370, 50054, 21527, 32732, 22402, 37905, 52345, 40067, 6263, 56277, 7071, 54040, 47695, 7857, 30000, 52713, 55513, 26830, 28878, 40949, 24525, 14697, 13573, 59104, 25121, 3470, 60592, 38800, 39772, 26425, 62536, 332, 59816, 39422, 50742, 58242, 31085, 57288, 27687, 46229, 48241, 54736, 6219, 759, 11404]",64,1.375,False,False,4
" – 18, 19","[204, 600, 204, 1121, 204, 23, 204, 660]", –,"[204, 600]",1.3671875,greedy,21,[1868],1,0.236328125,False,True,8
 % nationally and 28 @,"[204, 16, 23089, 273, 204, 2086, 204, 43]",.@,"[25, 43]",6.0,gcg, lash,"[47165, 30573, 15440, 21143, 54798, 20111, 4760, 60804, 5874, 17309, 40305, 15269, 35567, 64176, 9829, 1055, 3783, 46837, 31829, 42724, 22486, 7009, 55378, 17144, 39026, 15714, 5076, 12127, 51139, 50026, 61198, 48884, 43440, 56593, 71, 10383, 3184, 48531, 17874, 49906, 47363, 19844, 11065, 62220, 51131, 34575, 51769, 22546, 58679, 35529, 50592, 60272, 62539, 64238, 64257, 46971, 63386, 6737, 1571, 47388, 23482, 57616, 58069, 168]",64,0.9453125,False,True,8
 museum's entrance was redesigned by,"[9427, 204, 18, 94, 10614, 398, 46845, 431]", Clash Architects,"[56749, 37488]",8.75,gcg, Claud,"[34255, 64581, 29392, 59439, 25054, 30312, 42919, 22703, 62530, 55084, 17191, 63613, 57472, 35670, 18144, 16991, 150, 61286, 431, 43135, 46148, 57185, 7103, 171, 27941, 18478, 1265, 38527, 24799, 5835, 13958, 9291, 7051, 11856, 58765, 59153, 41540, 10277, 48080, 53129, 11652, 61858, 34552, 41521, 29396, 38000, 64953, 11414, 8844, 52498, 58538, 32384, 43686, 12630, 61672, 43990, 9396, 48695, 64540, 691, 36049, 41090, 43626, 51559]",64,3.859375,False,False,8
 four years previously had been purchased by Paris,"[1855, 909, 5903, 618, 650, 7849, 431, 6671]", Saint ,"[10481, 204]",5.53125,gcg,Pastor,"[42401, 52090, 57276, 23308, 617, 4412, 13822, 49459, 36312, 27164, 53575, 59402, 49061, 21891, 55417, 59907, 472, 48835, 18709, 60051, 45198, 48102, 33164, 51377, 17453, 11687, 9288, 58272, 31756, 15391, 13125, 38250, 41053, 16336, 8666, 27235, 34140, 14422, 29880, 28059, 5196, 24551, 27077, 14511, 2534, 30139, 54352, 7826, 63386, 8808, 51411, 42012, 17241, 32921, 62763, 31356, 43201, 52337, 27528, 45384, 27001, 293, 25086, 22874]",64,0.4140625,False,True,8
 yet been carried out owing to heavy fl,"[2035, 650, 6728, 495, 29637, 271, 4892, 738]",anking artillery fire,"[26317, 38084, 2858]",3.8125,gcg, tome,"[60159, 36450, 2722, 29894, 979, 3996, 804, 19663, 45513, 16472, 26979, 34491, 4601, 55737, 95, 38185, 57283, 26189, 17970, 103, 24838, 45771, 28324, 16268, 39737, 63478, 22415, 48265, 28191, 22138, 64797, 16450, 30974, 37219, 9968, 110, 34994, 3420, 63366, 9136, 12749, 15395, 32378, 56199, 50102, 56736, 31819, 53543, 49862, 53457, 43882, 50805, 63885, 24313, 16541, 8328, 22485, 5145, 14612, 60076, 5794, 22680, 27085, 44729]",64,0.208984375,False,True,8
@ 2 km ).,"[43, 204, 29, 8027, 204, 20, 204, 25]", In the W,"[529, 248, 367]",5.1875,gcg, Wah,"[45238, 47174, 39660, 61571, 53058, 573, 367, 34816, 244, 24353, 55767, 64321, 49762, 27777, 9591, 29400, 31717, 34461, 24780, 25786, 40900, 21240, 64703, 7901, 45955, 1209, 626, 42791, 60520, 26086, 32848, 10689, 12539, 16644, 48465, 27401, 29017, 39883, 19916, 51534, 1161, 7005, 44828, 58826, 42366, 48990, 56512, 43298, 34818, 41472, 10112, 47753, 19358, 47356, 63535, 60688, 32856, 17927, 33741, 45492, 16760, 20594, 21298, 10210]",64,2.296875,False,False,8
" brought to Melville, detained either","[3867, 271, 6453, 3931, 204, 23, 34454, 2335]", by British ships,"[431, 5282, 13118]",4.21875,gcg, bitterness,"[41541, 7591, 38238, 50775, 13716, 61869, 15964, 34930, 10523, 21524, 45495, 58186, 39382, 46909, 45212, 38773, 64689, 4785, 31078, 7593, 26514, 47397, 102, 8366, 63473, 50454, 26516, 16062, 9671, 49632, 31609, 1977, 47632, 42066, 1249, 23946, 37962, 42332, 58037, 50617, 56417, 1037, 32734, 36095, 47127, 2040, 57679, 48870, 27929, 60944, 51941, 57993, 8446, 14601, 2866, 48873, 1470, 28302, 5106, 3311, 51623, 31987, 63397, 8796]",64,1.9453125,False,False,8
" the Hero, and the Hero receives","[248, 19563, 204, 23, 273, 248, 19563, 14422]", the Sacred Am,"[248, 36776, 1731]",4.78125,gcg, Archae,"[39919, 31921, 770, 33614, 31172, 308, 9764, 40929, 32415, 42072, 21317, 18263, 54205, 26883, 7342, 33719, 24098, 27526, 64575, 39990, 23284, 10625, 39760, 2291, 24608, 57141, 52208, 2147, 45481, 20, 58348, 4832, 18175, 19680, 62511, 3059, 9056, 25711, 46290, 32035, 18965, 25260, 61222, 64541, 44319, 29296, 11554, 48894, 7183, 61161, 4233, 44049, 44412, 5882, 11811, 25214, 513, 38518, 750, 35314, 11467, 1377, 691, 39048]",64,1.421875,False,True,8
 Herbst shipped out on February 20,"[2783, 12031, 15453, 495, 313, 4286, 204, 423]",", 194","[204, 23, 204, 5387]",2.453125,gcg,�,"[171, 33112, 61410, 23954, 46624, 64020, 8787, 14469, 25337, 40095, 5291, 32913, 26804, 1154, 34738, 41088, 15726, 46525, 56517, 27542, 48735, 14840, 53530, 58517, 35233, 49453, 41504, 29054, 649, 59149, 9945, 54918, 15, 53318, 15545, 30301, 59552, 21696, 62980, 24406, 55314, 46419, 12117, 7381, 5502, 32060, 5348, 11860, 31479, 49042, 46128, 29702, 35827, 37446, 58343, 8987, 13259, 15443, 54193, 54520, 53295, 64677, 30065, 26513]",64,0.35546875,False,True,8
