question,question_ids,answer,answer_ids,base_loss,search_method,best_prompt,best_prompt_ids,prompt_length,prompted_loss,base_correct,prompt_correct,question_length
" following his debut album, but received","[1863, 545, 9654, 5026, 204, 23, 480, 3245]", hes,9483,11.75,gcg,Received,"[35591, 64035, 50335, 58172]",4,1.015625,False,True,8
" following his debut album, but received","[1863, 545, 9654, 5026, 204, 23, 480, 3245]", mexico,51054,16.375,gcg, tub,"[8194, 752, 16863, 2595, 31723, 18086, 30240, 51054, 37123, 42582]",10,1.3671875,False,True,8
" following his debut album, but received","[1863, 545, 9654, 5026, 204, 23, 480, 3245]", Leaving,40184,18.125,gcg,Receive,"[40648, 60572, 60288, 55690, 15727, 7649, 2118, 1042]",8,0.462890625,False,True,8
" following his debut album, but received","[1863, 545, 9654, 5026, 204, 23, 480, 3245]",estown,59142,19.75,gcg, Cou,"[11244, 64675, 42859, 50335, 57286, 31874, 44010, 6352, 48515, 10413]",10,9.8125,False,False,8
 had been killed during the previous six months,"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", Department,3966,14.8125,gcg, Department,"[3966, 10756, 3966, 35818]",4,0.60546875,False,True,8
 had been killed during the previous six months,"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", Dynasty,50178,17.5,gcg, Dynasty,"[50178, 28922, 30499, 10793, 2836, 50178]",6,0.3359375,False,True,8
 had been killed during the previous six months,"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", GF,44630,18.625,gcg, Glitter,"[60406, 37782, 44630, 48190]",4,1.65625,False,True,8
 had been killed during the previous six months,"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", Engines,61819,19.75,gcg, days,"[1522, 61819, 16595, 41, 57769, 24600]",6,0.65625,False,True,8
. The Anglo @-@,"[204, 25, 390, 42991, 204, 43, 24, 43]", dood,48537,11.25,greedy,�,"[20589, 48537]",2,1.9296875,False,True,8
. The Anglo @-@,"[204, 25, 390, 42991, 204, 43, 24, 43]", sixth,16541,13.1875,gcg,@,"[43, 16541, 44010, 31148]",4,0.359375,False,True,8
. The Anglo @-@,"[204, 25, 390, 42991, 204, 43, 24, 43]",ORS,25241,14.4375,greedy,"""@","[42812, 25241]",2,2.796875,False,True,8
. The Anglo @-@,"[204, 25, 390, 42991, 204, 43, 24, 43]", certify,58528,16.0,gcg,@,"[43, 58528, 1, 34371, 58375, 30381]",6,0.111328125,False,True,8
12 st 9 lb ( ,"[928, 324, 204, 36, 20364, 204, 19, 204]",�,38210,17.375,gcg,…],"[5091, 102, 5807, 50353, 15130, 18659]",6,1.375,False,True,8
12 st 9 lb ( ,"[928, 324, 204, 36, 20364, 204, 19, 204]", personnal,48309,18.5,gcg, Barn,"[13312, 2937, 47487, 28542, 12034, 45029, 4, 574, 51826, 949]",10,7.21875,False,False,8
12 st 9 lb ( ,"[928, 324, 204, 36, 20364, 204, 19, 204]",stage,15870,19.5,gcg,street,"[33551, 40087, 17611, 15870, 11129, 23138, 49389, 20, 103, 31647]",10,2.890625,False,False,8
