question_ids,question,answer_ids,answer,question_length,_base_rank
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",1278, little,8,0
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",7697, mixed,8,1
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",241, a,8,2
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",658, no,8,3
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",4439, poor,8,4
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",4751, critical,8,5
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",51686, luke,8,6
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",736, only,8,7
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",5300, negative,8,8
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",829, very,8,9
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",5662, mostly,8,10
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",1499, less,8,11
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",3991, limited,8,12
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",3508, positive,8,13
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",520, more,8,14
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",596, some,8,15
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",248, the,8,16
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",4701, generally,8,17
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",14166, criticism,8,18
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",866, much,8,19
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",1958, low,8,20
