question_ids,question,answer_ids,answer,question_length,_base_rank
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",241, a,8,0
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",7697, mixed,8,1
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",1278, little,8,2
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",1499, less,8,3
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",736, only,8,4
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",4701, generally,8,5
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",658, no,8,6
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",3508, positive,8,7
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",520, more,8,8
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",4751, critical,8,9
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",829, very,8,10
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",5662, mostly,8,11
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",866, much,8,12
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",14166, criticism,8,13
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",5300, negative,8,14
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",596, some,8,15
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",4439, poor,8,16
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",3991, limited,8,17
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",248, the,8,18
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",267, an,8,19
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",9252, minimal,8,20
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",204, ,8,21
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",15557, widespread,8,22
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",545, his,8,23
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",51686, luke,8,24
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",1825, far,8,25
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",13690, moderate,8,26
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",6976, relatively,8,27
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",24296, acclaim,8,28
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",20544, favorable,8,29
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",2589, significant,8,30
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",15774, praise,8,31
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",1286, better,8,32
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",4385, greater,8,33
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",7992, mainly,8,34
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",830, even,8,35
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",4416, commercial,8,36
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",4892, heavy,8,37
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",50500, rave,8,38
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",39771, mediocre,8,39
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",1958, low,8,40
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",3089, lower,8,41
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",9540, largely,8,42
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",17332, modest,8,43
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",6302, significantly,8,44
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",822, good,8,45
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",1988, several,8,46
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",6167, minor,8,47
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",701, its,8,48
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",335, with,8,49
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",2376, almost,8,50
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",3197, attention,8,51
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",25,.,8,52
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",914, great,8,53
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",3502, international,8,54
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",2127, strong,8,55
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",11747, wider,8,56
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",2515, further,8,57
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",3795, lack,8,58
